Array;Source Name;Cell_line;ClustGroup
5500994173212120213068_A01.cel;J132_EPA01P10_UACC-812_breast_910910;UACC-812;6
5500994158987071513209_A01.cel;J132_EPA01P2_201T_Lung:NSCLC_1287381;201T;2
5500994172383112813929_A01.cel;J132_EPA01P3_EVSA-T_Breast_906862;EVSA-T;6
5500994158987071513202_A01.cel;J132_EPA01P4_KYSE-520_Esophagus_753575;KYSE-520;1
5500994158987071513207_A01.cel;J132_EPA01P5_MS751_Cervix_1240179;MS751;2
5500994172383112813928_A01.cel;J132_EPA01P6_MEL-JUSO_Skin_908125;MEL-JUSO;3
5500994172383112813930_A01.cel;J132_EPA01P8_NCI-H1869_Lung_1240183;NCI-H1869;2
5500994172948120113978_A01.cel;J132_EPA01P9_CMK_haematopoietic_and_lymphoid_tissue_910566;CMK;7
5500994173212120213068_A02.cel;J132_EPA02P10_SNU-61_large_intestine_1660035;SNU-61;2
5500994157493061613625_A02.cel;J132_EPA02P1_DMS-114_Lung_687983;DMS-114;5
5500994158987071513209_A02.cel;J132_EPA02P2_A204_Muscle_910784;A204;5
5500994172383112813929_A02.cel;J132_EPA02P3_EBC-1_Lung:NSCLC_753554;EBC-1;2
5500994158987071513202_A02.cel;J132_EPA02P4_KURAMOCHI_Ovary_909975;KURAMOCHI;2
5500994158987071513207_A02.cel;J132_EPA02P5_MZ7-mel_Skin_753596;MZ7-mel;3
5500994172383112813928_A02.cel;J132_EPA02P6_SF539_CNS_905984;SF539;4
5500994158987071513201_A02.cel;J132_EPA02P7_REH_Blood_909696;REH;7
5500994172383112813930_A02.cel;J132_EPA02P8_NCI-H2347_Lung:NSCLC_687820;NCI-H2347;2
5500994172948120113978_A02.cel;J132_EPA02P9_NB-TU-1-10_Kidney_1240181;NB-TU-1-10;5
5500994173212120213068_A03.cel;J132_EPA03P10_SIG-M5_Blood_909715;SIG-M5;7
5500994157493061613625_A03.cel;J132_EPA03P1_CAL-51_Breast_910927;CAL-51;2
5500994172383112813929_A03.cel;J132_EPA03P3_ASH-3_Thyroid_1290722;ASH-3;4
5500994158987071513207_A03.cel;J132_EPA03P5_MDST8_Intestine_1240173;MDST8;4
5500994172383112813928_A03.cel;J132_EPA03P6_SUP-T1_Blood_909743;SUP-T1;7
5500994158987071513201_A03.cel;J132_EPA03P7_RH-41_Muscle_1240210;RH-41;5
5500994172383112813930_A03.cel;J132_EPA03P8_NCI-H2170_Lung:NSCLC_687815;NCI-H2170;2
5500994172948120113978_A03.cel;J132_EPA03P9_NCI-H2141_lung_688014;NCI-H2141;6
5500994173212120213068_A04.cel;J132_EPA04P10_ALL-SIL_Blood_1295740;ALL-SIL;7
5500994157493061613625_A04.cel;J132_EPA04P1_H2869_Lung_1240138;H2869;4
5500994158987071513209_A04.cel;J132_EPA04P2_BCPAP_Thyroid_924104;BCPAP;4
5500994172383112813929_A04.cel;J132_EPA04P3_CaR-1_Intestine_924108;CaR-1;2
5500994158987071513202_A04.cel;J132_EPA04P4_KINGS-1_CNS_907279;KINGS-1;4
5500994158987071513207_A04.cel;J132_EPA04P5_U-118-MG_Brain_687588;U-118-MG;4
5500994172383112813928_A04.cel;J132_EPA04P6_KP-4_Pancreas_753572;KP-4;2
5500994158987071513201_A04.cel;J132_EPA04P7_RPMI-8866_Blood_910544;RPMI-8866;8
