Array;ClustGroup;Cell_line;Tissue;Tissue sub-type;Cell_line_Tissue;TCGA
5500994172383112813929_F02.cel;1;A253;aero_digestive_tract;head_and_neck;A253_H&N_906794;UNCLASSIFIED
5500994172383112813929_F02.cel;1;A253;aero_digestive_tract;head_and_neck;A253_H&N_906794;UNCLASSIFIED
5500994158987071513209_D02.cel;1;A388;skin;skin_other;A388_Unknown_910697;UNCLASSIFIED
5500994158987071513209_F02.cel;1;A431;skin;skin_other;A431_Skin_910925;UNCLASSIFIED
5500994172383112813929_C03.cel;1;BB30-HNC;aero_digestive_tract;head_and_neck;BB30-HNC_H&N_753531;HNSC
5500994157493061613625_H10.cel;1;BFTC-905;urogenital_system;bladder;BFTC-905_Bladder_910926;BLCA
5500994157493061613625_H10.cel;1;BFTC-905;urogenital_system;bladder;BFTC-905_Bladder_910926;BLCA
5500994158987071513209_F04.cel;1;BHY;aero_digestive_tract;head_and_neck;BHY_Head & Neck_753535;HNSC
5500994172383112813929_H03.cel;1;BICR22;aero_digestive_tract;head_and_neck;BICR22_Head & Neck_1240121;HNSC
5500994172383112813929_H03.cel;1;BICR22;aero_digestive_tract;head_and_neck;BICR22_Head & Neck_1240121;HNSC
5500994158987071513209_G04.cel;1;BICR78;aero_digestive_tract;head_and_neck;BICR78_Head & Neck_1240122;HNSC
5500994158987071513209_G04.cel;1;BICR78;aero_digestive_tract;head_and_neck;BICR78_Head & Neck_1240122;HNSC
5500994173212120213068_D04.cel;1;BxPC-3;pancreas;pancreas;BxPC-3_Pancreas_906693;PAAD
5500994173212120213068_D04.cel;1;BxPC-3;pancreas;pancreas;BxPC-3_Pancreas_906693;PAAD
5500994172383112813929_G03.cel;1;CAL-27;aero_digestive_tract;head_and_neck;CAL-27_Mouth_910916;HNSC
5500994172383112813929_G03.cel;1;CAL-27;aero_digestive_tract;head_and_neck;CAL-27_Mouth_910916;HNSC
5500994157493061613625_G01.cel;1;CAL-29;urogenital_system;bladder;CAL-29_Bladder_1290730;BLCA
5500994157493061613625_G01.cel;1;CAL-29;urogenital_system;bladder;CAL-29_Bladder_1290730;BLCA
5500994157493061613625_F11.cel;1;CAL-33;aero_digestive_tract;head_and_neck;CAL-33_H&N_753541;HNSC
5500994157493061613625_F11.cel;1;CAL-33;aero_digestive_tract;head_and_neck;CAL-33_H&N_753541;HNSC
5500994158987071513209_G07.cel;1;CAL-39;urogenital_system;cervix;CAL-39_Cervix_924107;CESC
5500994158987071513209_G07.cel;1;CAL-39;urogenital_system;cervix;CAL-39_Cervix_924107;CESC
5500994158987071513209_A06.cel;1;Ca9-22;aero_digestive_tract;head_and_neck;Ca9-22_Head & Neck_753538;HNSC
5500994158987071513209_A06.cel;1;Ca9-22;aero_digestive_tract;head_and_neck;Ca9-22_Head & Neck_753538;HNSC
5500994158987071513209_C10.cel;1;DAN-G;pancreas;pancreas;DAN-G_Pancreas_1290797;PAAD
5500994158987071513209_C10.cel;1;DAN-G;pancreas;pancreas;DAN-G_Pancreas_1290797;PAAD
5500994158987071513209_H10.cel;1;DJM-1;skin;skin_other;DJM-1_Skin_906841;UNCLASSIFIED
