Cell_line;Tissue sub-type;Count;
201T;LUAD;lung;lung_NSCLC_adenocarcinoma
22RV1;PRAD;urogenital_system;prostate
22RV1;PRAD;urogenital_system;prostate
23132-87;STAD;digestive_system;stomach
23132-87;STAD;digestive_system;stomach
42-MG-BA;GBM;nervous_system;glioma
42-MG-BA;GBM;nervous_system;glioma
451Lu;SKCM;skin;melanoma
5637;BLCA;urogenital_system;bladder
5637;BLCA;urogenital_system;bladder
639-V;BLCA;urogenital_system;bladder
639-V;BLCA;urogenital_system;bladder
647-V;BLCA;urogenital_system;bladder
647-V;BLCA;urogenital_system;bladder
697;UNCLASSIFIED;blood;lymphoblastic_leukemia
697;UNCLASSIFIED;blood;lymphoblastic_leukemia
769-P;KIRC;kidney;kidney
769-P;KIRC;kidney;kidney
786-0;KIRC;kidney;kidney
786-0;KIRC;kidney;kidney
8-MG-BA;GBM;nervous_system;glioma
8-MG-BA;GBM;nervous_system;glioma
8305C;THCA;thyroid;thyroid
8305C;THCA;thyroid;thyroid
8505C;THCA;thyroid;thyroid
8505C;THCA;thyroid;thyroid
A101D;SKCM;skin;melanoma
A101D;SKCM;skin;melanoma
A172;GBM;nervous_system;glioma
A172;GBM;nervous_system;glioma
A204;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
A204;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
A2058;SKCM;skin;melanoma
A2058;SKCM;skin;melanoma
A253;UNCLASSIFIED;aero_digestive_tract;head_and_neck
A253;UNCLASSIFIED;aero_digestive_tract;head_and_neck
A2780;UNCLASSIFIED;urogenital_system;ovary
A2780;UNCLASSIFIED;urogenital_system;ovary
A3-KAW;DLBC;blood;B_cell_lymphoma
A3-KAW;DLBC;blood;B_cell_lymphoma
A375;SKCM;skin;melanoma
A375;SKCM;skin;melanoma
A388;UNCLASSIFIED;skin;skin_other
A4-Fuk;DLBC;blood;B_cell_lymphoma
A4-Fuk;DLBC;blood;B_cell_lymphoma
A427;UNCLASSIFIED;lung;lung_NSCLC_not_specified
A427;UNCLASSIFIED;lung;lung_NSCLC_not_specified
A431;UNCLASSIFIED;skin;skin_other
A498;KIRC;kidney;kidney
A498;KIRC;kidney;kidney
A549;LUAD;lung;lung_NSCLC_adenocarcinoma
A549;LUAD;lung;lung_NSCLC_adenocarcinoma
A673;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
A673;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
A704;KIRC;kidney;kidney
A704;KIRC;kidney;kidney
ABC-1;LUAD;lung;lung_NSCLC_adenocarcinoma
ABC-1;LUAD;lung;lung_NSCLC_adenocarcinoma
ACHN;KIRC;kidney;kidney
ACHN;KIRC;kidney;kidney
AGS;STAD;digestive_system;stomach
AGS;STAD;digestive_system;stomach
ALL-PO;ALL;blood;lymphoblastic_leukemia
ALL-PO;ALL;blood;lymphoblastic_leukemia
ALL-SIL;ALL;blood;T_cell_leukemia
ALL-SIL;ALL;blood;T_cell_leukemia
AM-38;GBM;nervous_system;glioma
AM-38;GBM;nervous_system;glioma
AMO-1;MM;blood;haematopoietic_neoplasm_other
AMO-1;MM;blood;haematopoietic_neoplasm_other
AN3-CA;UCEC;urogenital_system;endometrium
